parcel_id,brp_id,folder_name,glyphosate,discarded,discard_source_files
140,2020_115103,plot_140,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
141,2020_737793,plot_141,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
142,2020_655309,plot_142,1,FALSE,NA
143,2020_17588,plot_143,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
144,2020_652277,plot_144,1,FALSE,NA
145,2020_714776,plot_145,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
146,2020_135031,plot_146,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
147,2020_365666,plot_147,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
148,2020_724480,plot_148,1,FALSE,NA
149,2020_47768,plot_149,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
150,2020_239669,plot_150,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
151,2020_535289,plot_151,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
152,2020_703680,plot_152,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
153,2020_430150,plot_153,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
154,2020_43379,plot_154,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
155,2020_717901,plot_155,1,FALSE,NA
156,2020_389529,plot_156,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
157,2020_624773,plot_157,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
158,2020_540299,plot_158,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
159,2020_496847,plot_159,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
160,2020_600562,plot_160,1,FALSE,NA
161,2020_187310,plot_161,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
162,2020_521079,plot_162,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
163,2020_265076,plot_163,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
164,2020_371725,plot_164,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
165,2020_728181,plot_165,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
166,2020_162181,plot_166,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
167,2020_75894,plot_167,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
168,2020_563691,plot_168,1,FALSE,NA
169,2020_650699,plot_169,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
170,2020_698350,plot_170,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
171,2020_454795,plot_171,1,FALSE,NA
172,2020_189109,plot_172,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
173,2020_538753,plot_173,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
174,2020_533370,plot_174,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
175,2020_59209,plot_175,1,FALSE,NA
176,2020_711128,plot_176,1,FALSE,NA
177,2020_672519,plot_177,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
178,2020_672540,plot_178,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
179,2020_149617,plot_179,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
180,2020_225407,plot_180,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
181,2020_744523,plot_181,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
182,2020_243820,plot_182,1,FALSE,NA
183,2020_85219,plot_183,1,FALSE,NA
184,2020_408693,plot_184,1,FALSE,NA
185,2020_748209,plot_185,1,FALSE,NA
186,2020_511741,plot_186,1,FALSE,NA
187,2020_713254,plot_187,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
188,2020_366692,plot_188,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
189,2020_432930,plot_189,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
190,2020_162875,plot_190,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
191,2020_549405,plot_191,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
192,2020_172313,plot_192,1,FALSE,NA
193,2020_592040,plot_193,1,FALSE,NA
194,2020_638365,plot_194,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
195,2020_179729,plot_195,1,FALSE,NA
196,2020_159434,plot_196,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
197,2020_728342,plot_197,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
198,2020_187981,plot_198,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
199,2020_598461,plot_199,1,TRUE,parcel_metadata2020.csv; parcel_metadata2020Honza.csv
200,2020_552525,plot_200,1,FALSE,NA
201,2020_653037,plot_201,1,FALSE,NA
202,2020_269824,plot_202,1,FALSE,NA
203,2020_53273,plot_203,1,FALSE,NA
204,2020_631641,plot_204,1,FALSE,NA
205,2020_495888,plot_205,1,FALSE,NA
206,2020_727152,plot_206,1,TRUE,parcel_metadata2020.csv
207,2020_534867,plot_207,1,TRUE,parcel_metadata2020.csv
208,2020_539381,plot_208,1,FALSE,NA
209,2020_416644,plot_209,1,FALSE,NA
210,2020_709254,plot_210,1,TRUE,parcel_metadata2020.csv
211,2020_716200,plot_211,1,FALSE,NA
212,2020_515719,plot_212,1,TRUE,parcel_metadata2020.csv
213,2020_728341,plot_213,1,FALSE,NA
214,2020_752722,plot_214,1,FALSE,NA
215,2020_683143,plot_215,1,TRUE,parcel_metadata2020.csv
216,2020_132514,plot_216,1,FALSE,NA
217,2020_711368,plot_217,1,TRUE,parcel_metadata2020.csv
218,2020_424587,plot_218,1,TRUE,parcel_metadata2020.csv
219,2020_307230,plot_219,1,TRUE,parcel_metadata2020.csv
220,2020_89154,plot_220,1,TRUE,parcel_metadata2020.csv
221,2020_95741,plot_221,1,TRUE,parcel_metadata2020.csv
222,2020_452346,plot_222,1,TRUE,parcel_metadata2020.csv
223,2020_479636,plot_223,1,TRUE,parcel_metadata2020.csv
224,2020_406659,plot_224,1,FALSE,NA
225,2020_307194,plot_225,1,FALSE,NA
226,2020_499828,plot_226,1,TRUE,parcel_metadata2020.csv
227,2020_464264,plot_227,1,FALSE,NA
228,2020_464265,plot_228,1,FALSE,NA
229,2020_431818,plot_229,1,FALSE,NA
230,2020_124114,plot_230,1,TRUE,parcel_metadata2020.csv
231,2020_720216,plot_231,1,TRUE,parcel_metadata2020.csv
232,2020_140286,plot_232,1,TRUE,parcel_metadata2020.csv
233,2020_426833,plot_233,1,FALSE,NA
234,2020_92759,plot_234,1,TRUE,parcel_metadata2020.csv
235,2020_339189,plot_235,1,TRUE,parcel_metadata2020.csv
236,2020_769457,plot_236,1,TRUE,parcel_metadata2020.csv
237,2020_92556,plot_237,1,TRUE,parcel_metadata2020.csv
238,2020_447215,plot_238,1,TRUE,parcel_metadata2020.csv
239,2020_563904,plot_239,1,TRUE,parcel_metadata2020.csv
240,2020_58697,plot_240,1,FALSE,NA
241,2020_240407,plot_241,1,FALSE,NA
242,2020_16421,plot_242,1,FALSE,NA
243,2020_18429,plot_243,1,TRUE,parcel_metadata2020.csv
244,2020_62943,plot_244,1,TRUE,parcel_metadata2020.csv
245,2020_142338,plot_245,1,TRUE,parcel_metadata2020.csv
246,2020_436090,plot_246,1,TRUE,parcel_metadata2020.csv
247,2020_713969,plot_247,1,FALSE,NA
248,2020_475839,plot_248,1,TRUE,parcel_metadata2020.csv
249,2020_598910,plot_249,1,TRUE,parcel_metadata2020.csv
250,2020_661314,plot_250,1,TRUE,parcel_metadata2020.csv
251,2020_84089,plot_251,1,TRUE,parcel_metadata2020.csv
252,2020_523871,plot_252,1,TRUE,parcel_metadata2020.csv
253,2020_569527,plot_253,1,TRUE,parcel_metadata2020.csv
254,2020_160221,plot_254,1,TRUE,parcel_metadata2020.csv
255,2020_376335,plot_255,1,TRUE,parcel_metadata2020.csv
256,2020_13856,plot_256,1,TRUE,parcel_metadata2020.csv
257,2020_107126,plot_257,1,TRUE,parcel_metadata2020.csv
258,2020_114301,plot_258,1,TRUE,parcel_metadata2020.csv
259,2020_335703,plot_259,1,TRUE,parcel_metadata2020.csv
260,2020_366130,plot_260,1,TRUE,parcel_metadata2020.csv
261,2020_264285,plot_261,1,TRUE,parcel_metadata2020.csv
262,2020_471679,plot_262,1,FALSE,NA
263,2020_673464,plot_263,1,TRUE,parcel_metadata2020.csv
264,2020_163888,plot_264,1,TRUE,parcel_metadata2020.csv
265,2020_474077,plot_265,1,TRUE,parcel_metadata2020.csv
266,2020_750774,plot_266,1,TRUE,parcel_metadata2020.csv
267,2020_358310,plot_267,1,TRUE,parcel_metadata2020.csv
268,2020_347642,plot_268,1,TRUE,parcel_metadata2020.csv
269,2020_687835,plot_269,1,TRUE,parcel_metadata2020.csv
270,2020_30316,plot_270,1,FALSE,NA
271,2020_32590,plot_271,1,TRUE,parcel_metadata2020.csv
272,2020_374814,plot_272,1,TRUE,parcel_metadata2020.csv
273,2020_466741,plot_273,1,TRUE,parcel_metadata2020.csv
274,2020_627697,plot_274,1,FALSE,NA
275,2020_432433,plot_275,1,TRUE,parcel_metadata2020.csv
276,2020_271118,plot_276,1,FALSE,NA
277,2020_45295,plot_277,1,TRUE,parcel_metadata2020.csv
278,2020_354968,plot_278,1,TRUE,parcel_metadata2020.csv
279,2020_267207,plot_279,1,TRUE,parcel_metadata2020.csv
280,2020_170556,plot_280,1,TRUE,parcel_metadata2020.csv
281,2020_52155,plot_281,1,TRUE,parcel_metadata2020.csv
282,2020_762974,plot_282,1,TRUE,parcel_metadata2020.csv
283,2020_138907,plot_283,1,TRUE,parcel_metadata2020.csv
284,2020_554204,plot_284,1,TRUE,parcel_metadata2020.csv
285,2020_172708,plot_285,1,TRUE,parcel_metadata2020.csv
286,2020_732635,plot_286,1,TRUE,parcel_metadata2020.csv
287,2020_635128,plot_287,1,TRUE,parcel_metadata2020.csv
288,2020_442506,plot_288,1,TRUE,parcel_metadata2020.csv
289,2020_650679,plot_289,1,TRUE,parcel_metadata2020.csv
290,2020_560709,plot_290,1,TRUE,parcel_metadata2020.csv
291,2020_507958,plot_291,1,TRUE,parcel_metadata2020.csv
292,2020_393553,plot_292,1,FALSE,NA
293,2020_339497,plot_293,1,FALSE,NA
294,2020_505733,plot_294,1,FALSE,NA
295,2020_545283,plot_295,1,TRUE,parcel_metadata2020.csv
296,2020_714779,plot_296,1,TRUE,parcel_metadata2020.csv
297,2020_421346,plot_297,1,TRUE,parcel_metadata2020.csv
298,2020_624352,plot_298,1,TRUE,parcel_metadata2020.csv
299,2020_169110,plot_299,1,FALSE,NA
300,2020_758070,plot_300,1,TRUE,parcel_metadata2020.csv
301,2020_39910,plot_301,1,FALSE,NA
302,2020_754264,plot_302,1,FALSE,NA
303,2020_19870,plot_303,1,TRUE,parcel_metadata2020.csv
304,2020_727151,plot_304,1,TRUE,parcel_metadata2020.csv
305,2020_139219,plot_305,1,TRUE,parcel_metadata2020.csv
306,2020_242209,plot_306,1,FALSE,NA
307,2020_72503,plot_307,1,FALSE,NA
308,2020_39081,plot_308,1,TRUE,parcel_metadata2020.csv
309,2020_596375,plot_309,1,TRUE,parcel_metadata2020.csv
310,2020_324163,plot_310,1,TRUE,parcel_metadata2020.csv
311,2020_722178,plot_311,1,TRUE,parcel_metadata2020.csv
312,2020_318992,plot_312,1,TRUE,parcel_metadata2020.csv
313,2020_740166,plot_313,1,FALSE,NA
314,2020_356577,plot_314,1,TRUE,parcel_metadata2020.csv
315,2020_128383,plot_315,1,TRUE,parcel_metadata2020.csv
316,2020_651647,plot_316,1,TRUE,parcel_metadata2020.csv
317,2020_11467,plot_317,1,TRUE,parcel_metadata2020.csv
318,2020_40387,plot_318,1,TRUE,parcel_metadata2020.csv
319,2020_646947,plot_319,1,TRUE,parcel_metadata2020.csv
320,2020_659208,plot_320,1,TRUE,parcel_metadata2020.csv
321,2020_549558,plot_321,1,TRUE,parcel_metadata2020.csv
322,2020_463613,plot_322,1,TRUE,parcel_metadata2020.csv
323,2020_704927,plot_323,1,TRUE,parcel_metadata2020.csv
324,2020_614259,plot_324,1,FALSE,NA
325,2020_734096,plot_325,1,FALSE,NA
326,2020_614323,plot_326,1,TRUE,parcel_metadata2020.csv
327,2020_113399,plot_327,1,TRUE,parcel_metadata2020.csv
328,2020_279026,plot_328,1,TRUE,parcel_metadata2020.csv
329,2020_345641,plot_329,1,TRUE,parcel_metadata2020.csv
330,2020_494418,plot_330,1,TRUE,parcel_metadata2020.csv
331,2020_491587,plot_331,1,TRUE,parcel_metadata2020.csv
332,2020_334054,plot_332,1,TRUE,parcel_metadata2020.csv
333,2020_713970,plot_333,1,TRUE,parcel_metadata2020.csv
334,2020_41921,plot_334,1,TRUE,parcel_metadata2020.csv
335,2020_332848,plot_335,1,TRUE,parcel_metadata2020.csv
336,2020_211453,plot_336,1,FALSE,NA
337,2020_624107,plot_337,1,TRUE,parcel_metadata2020.csv
338,2020_550887,plot_338,1,TRUE,parcel_metadata2020.csv
339,2020_89325,plot_339,1,TRUE,parcel_metadata2020.csv
340,2020_712828,plot_340,1,TRUE,parcel_metadata2020.csv
341,2020_458606,plot_341,1,TRUE,parcel_metadata2020.csv
342,2020_576133,plot_342,1,TRUE,parcel_metadata2020.csv
343,2020_162371,plot_343,1,TRUE,parcel_metadata2020.csv
344,2020_712099,plot_344,1,TRUE,parcel_metadata2020.csv
345,2020_430706,plot_345,1,TRUE,parcel_metadata2020.csv
346,2020_691433,plot_346,1,TRUE,parcel_metadata2020.csv
347,2020_354836,plot_347,1,FALSE,NA
348,2020_691465,plot_348,1,TRUE,parcel_metadata2020.csv
349,2020_464784,plot_349,1,FALSE,NA
350,2020_599720,plot_350,1,TRUE,parcel_metadata2020.csv
351,2020_223103,plot_351,1,FALSE,NA
352,2020_509780,plot_352,1,FALSE,NA
353,2020_540260,plot_353,1,TRUE,parcel_metadata2020.csv
354,2020_526386,plot_354,1,TRUE,parcel_metadata2020.csv
355,2020_437009,plot_355,1,FALSE,NA
356,2020_406176,plot_356,1,TRUE,parcel_metadata2020.csv
